iter	Logloss
0	0.6784493291
1	0.6636943595
2	0.6525467184
3	0.6410767015
4	0.6287440783
5	0.6192176263
6	0.609214418
7	0.599111314
8	0.5893810684
9	0.5807488811
10	0.5718686628
11	0.565289564
12	0.5588522551
13	0.5519782031
14	0.5455077306
15	0.5394441623
16	0.5347757262
17	0.5291124293
18	0.5241744642
19	0.5198730083
20	0.5151639002
21	0.5114191058
22	0.5071182108
23	0.5031918022
24	0.4987662607
25	0.4956114225
26	0.4928894893
27	0.4900628288
28	0.486683347
29	0.4832643397
30	0.4799412033
31	0.4773938702
32	0.4744553922
33	0.4718613417
34	0.4689425569
35	0.4663826283
36	0.4640017838
37	0.461821722
38	0.4596562526
39	0.4574207065
40	0.4554379705
41	0.4535861195
42	0.4514115418
43	0.4490504967
44	0.4466832938
45	0.4450674191
46	0.4432453045
47	0.4415352062
48	0.439637614
49	0.4384094783
50	0.43688192
51	0.4348391619
52	0.4330763172
53	0.4312591105
54	0.4296126214
55	0.4279505804
56	0.4264935025
57	0.4248525009
58	0.4235137315
59	0.4216760904
60	0.4203258171
61	0.4193924173
62	0.4181210892
63	0.4168440533
64	0.4159628995
65	0.4149927366
66	0.4136256586
67	0.4120904393
68	0.4109087181
69	0.4097062642
70	0.4086220653
71	0.407469181
72	0.4062883717
73	0.4052243566
74	0.4044258744
75	0.4034151942
76	0.4022213251
77	0.4009704132
78	0.4003189636
79	0.3993100842
80	0.398325145
81	0.3973803617
82	0.396494603
83	0.395266798
84	0.3942114987
85	0.393388701
86	0.3924334656
87	0.3915550972
88	0.3906640565
89	0.389799828
90	0.3889178656
91	0.3880043244
92	0.387242981
93	0.3864924912
94	0.3858113231
95	0.385027771
96	0.3842379881
97	0.3835240537
98	0.3826929238
99	0.3817773468
100	0.3811818263
101	0.380433175
102	0.3798739824
103	0.3790799342
104	0.3784869139
105	0.377859424
106	0.3772129617
107	0.3763949791
108	0.3759210737
109	0.3752459584
110	0.3745600957
111	0.3738657618
112	0.373236441
113	0.3725708906
114	0.3720932869
115	0.3714733221
116	0.370829967
117	0.3703705103
118	0.3696336405
119	0.3692957285
120	0.368702143
121	0.3681128945
122	0.3675131457
123	0.3669161964
124	0.3663387089
125	0.3660644754
126	0.3657545899
127	0.3651774956
128	0.3646723022
129	0.3641737657
130	0.3637494117
131	0.3631849627
132	0.362692006
133	0.3620701928
134	0.3615974975
135	0.3608555077
136	0.360498992
137	0.3601550322
138	0.3595971629
139	0.3592616181
140	0.3588223755
141	0.3583268997
142	0.3577391546
143	0.3574216365
144	0.3571659897
145	0.3567005113
146	0.3563084321
147	0.3559978206
148	0.3556301144
149	0.3551859936
150	0.354806022
151	0.3543750908
152	0.3539744319
153	0.3534195084
154	0.3530645484
155	0.3524187855
156	0.3518661063
157	0.3515443408
158	0.3509825584
159	0.3507275679
160	0.3503130355
161	0.3498204388
162	0.3494127606
163	0.3491223129
164	0.3486815562
165	0.3483395738
166	0.3479138476
167	0.3474337989
168	0.3469654031
169	0.3464734245
170	0.3460313335
171	0.3455421364
172	0.3453860527
173	0.3450177117
174	0.3446567948
175	0.3443090938
176	0.3439449673
177	0.3434421177
178	0.3431448302
179	0.3428260328
180	0.3424774364
181	0.342032607
182	0.3416647803
183	0.3414408286
184	0.3411426579
185	0.340707664
186	0.3403646432
187	0.3400482378
188	0.3397412147
189	0.3394780621
190	0.3392549756
191	0.3389382448
192	0.3386285246
193	0.3383275847
194	0.3380042692
195	0.3377414504
196	0.3373254045
197	0.3368962632
198	0.3364180662
199	0.3361419773
200	0.335896215
201	0.3355929678
202	0.3352429663
203	0.3349232033
204	0.3345680444
205	0.3344652638
206	0.3340342411
207	0.3336536786
208	0.3334112504
209	0.3330133326
210	0.3327247585
211	0.3322624729
212	0.3321383239
213	0.3318010189
214	0.3313923091
215	0.3309789097
216	0.3306397966
217	0.3301593685
218	0.3296173817
219	0.3291758209
220	0.3288012469
221	0.3284496553
222	0.328125158
223	0.3276082659
224	0.3272380357
225	0.3267915483
226	0.3263976753
227	0.3259690487
228	0.325653629
229	0.3253048711
230	0.3249415927
231	0.3244406444
232	0.3238084476
233	0.3234798769
234	0.3231209694
235	0.3226180378
236	0.3219959553
237	0.3217045143
238	0.3212030756
239	0.3206946933
240	0.3203267963
241	0.3198530808
242	0.3193518349
243	0.318887329
244	0.3184292182
245	0.3178712931
246	0.3174490498
247	0.3168835042
248	0.3163413916
249	0.3158416389
250	0.3153979289
251	0.3148221863
252	0.3142813239
253	0.3136794396
254	0.3132866993
255	0.3127167099
256	0.3121663767
257	0.3116072989
258	0.3109193447
259	0.3103639161
260	0.3099309293
261	0.3093390026
262	0.308662267
263	0.308128933
264	0.3074414798
265	0.3069756223
266	0.3063574307
267	0.3057631174
268	0.3052130007
269	0.3046832856
270	0.3041926502
271	0.3035454003
272	0.3030244165
