iter	Passed	Remaining
402	11412	2350
403	11438	2321
404	11466	2293
405	11495	2265
406	11525	2237
407	11553	2208
408	11582	2180
409	11613	2152
410	11644	2124
411	11676	2097
412	11713	2070
413	11752	2043
414	11788	2016
415	11818	1988
416	11847	1960
417	11874	1931
418	11903	1903
419	11931	1875
420	11961	1846
421	11990	1818
422	12021	1790
423	12051	1762
424	12080	1733
425	12113	1706
426	12144	1678
427	12176	1650
428	12204	1621
429	12233	1593
430	12260	1564
431	12287	1535
432	12317	1507
433	12343	1478
434	12408	1454
435	12448	1427
436	12478	1399
437	12508	1370
438	12541	1342
439	12572	1314
440	12604	1286
441	12633	1257
442	12663	1229
443	12698	1201
444	12732	1173
445	12763	1144
446	12793	1116
447	12824	1087
448	12853	1059
449	12880	1030
450	12907	1001
451	12937	973
452	12967	944
453	12995	915
454	13026	887
455	13052	858
456	13076	829
457	13101	800
458	13128	772
459	13152	743
460	13179	714
461	13203	685
462	13231	657
463	13257	628
464	13283	599
465	13309	571
466	13333	542
467	13359	513
468	13383	485
469	13407	456
470	13432	427
471	13457	399
472	13480	370
473	13505	341
474	13529	313
475	13555	284
476	13579	256
477	13605	227
478	13629	199
479	13655	170
480	13681	142
481	13706	113
482	13731	85
483	13757	56
484	13786	28
485	13812	0
